id,is_observed,obs,dur,dist,is_train
1921,f,0,0,0,t
1922,f,0,0,0,t
1923,f,0,0,0,t
1924,f,0,0,0,t
1925,f,0,0,0,t
1926,f,0,0,0,t
1927,f,0,0,0,t
1928,f,0,0,0,t
1929,f,0,0,0,t
1935,f,0,0,0,t
1936,f,0,0,0,t
1937,f,0,0,0,t
1938,f,0,0,0,t
1939,f,0,0,0,t
1945,f,0,0,0,t
1946,f,0,0,0,t
1947,t,0.0,0.1,0.0,t
1948,f,0,0,0,t
1949,f,0,0,0,t
1950,t,0.0,0.3,0.0,t
1951,f,0,0,0,t
1952,f,0,0,0,t
1953,f,0,0,0,t
1954,f,0,0,0,t
1955,f,0,0,0,t
1956,f,0,0,0,t
1957,f,0,0,0,t
1958,f,0,0,0,t
1959,f,0,0,0,t
1960,f,0,0,0,t
1961,f,0,0,0,t
1962,f,0,0,0,t
1963,t,0.1,0.2,0.0,t
1964,f,0,0,0,t
1965,f,0,0,0,t
1966,f,0,0,0,t
1967,t,0.0,0.1,0.0,t
1968,f,0,0,0,t
1969,f,0,0,0,t
1970,f,0,0,0,t
1971,f,0,0,0,t
1972,t,0.0,0.0,0.0,t
1973,f,0,0,0,t
1974,t,0.0,0.1,0.0,t
1975,t,0.0,0.0,0.0,t
1976,f,0,0,0,t
1977,f,0,0,0,t
1978,f,0,0,0,t
1979,f,0,0,0,t
1980,f,0,0,0,t
1981,f,0,0,0,t
1982,f,0,0,0,t
1983,f,0,0,0,t
1984,f,0,0,0,t
1995,t,0.0,0.1,0.0,t
1996,t,0.0,0.1,0.0,t
1997,f,0,0,0,t
1998,f,0,0,0,t
1999,f,0,0,0,t
1089,t,0.0,0.0,0.0,t
1090,t,0.0,0.1,0.0,t
1091,f,0,0,0,t
1092,f,0,0,0,t
1093,f,0,0,0,t
1099,f,0,0,0,t
1100,t,0.0,0.1,0.0,t
1101,f,0,0,0,t
1102,f,0,0,0,t
1103,f,0,0,0,t
1104,t,0.1,0.1,0.0,t
1105,t,0.3,0.3,0.1,t
1106,f,0,0,0,t
1107,t,0.0,0.0,0.0,t
1108,t,0.0,0.0,0.0,t
1109,f,0,0,0,t
1110,f,0,0,0,t
1111,f,0,0,0,t
1112,t,0.0,0.0,0.0,t
1113,t,0.0,0.1,0.0,t
1114,f,0,0,0,t
1115,t,0.3,0.1,0.0,t
1116,t,0.0,0.1,0.0,t
1117,t,0.0,0.0,0.0,t
1118,t,0.0,0.0,0.0,t
1119,f,0,0,0,t
1120,t,0.0,0.0,0.0,t
1121,t,0.0,0.0,0.0,t
1122,t,0.0,0.0,0.0,t
1123,f,0,0,0,t
1134,f,0,0,0,t
1135,f,0,0,0,t
1136,f,0,0,0,t
1137,t,0.0,0.1,0.0,t
1138,t,0.0,0.1,0.2,t
1139,t,0.0,0.4,0.1,t
1140,f,0,0,0,t
1141,f,0,0,0,t
1142,f,0,0,0,t
1143,f,0,0,0,t
1149,t,0.0,0.1,0.0,t
1150,t,0.0,0.1,0.1,t
1151,f,0,0,0,t
1152,f,0,0,0,t
1153,f,0,0,0,t
1154,f,0,0,0,t
1155,t,0.0,0.0,0.0,t
1156,f,0,0,0,t
1157,t,0.0,0.1,0.0,t
1158,f,0,0,0,t
1159,f,0,0,0,t
1160,f,0,0,0,t
1161,f,0,0,0,t
1162,t,0.0,0.0,0.0,t
1163,t,0.0,0.0,0.0,t
1164,f,0,0,0,t
1165,f,0,0,0,t
1166,t,0.0,0.0,0.0,t
1167,t,0.0,0.0,0.0,t
1168,f,0,0,0,t
1169,t,0.0,0.2,0.0,t
1170,f,0,0,0,t
1171,f,0,0,0,t
1172,f,0,0,0,t
1173,f,0,0,0,t
1174,t,0.0,0.2,0.0,t
1175,f,0,0,0,t
1176,f,0,0,0,t
1177,f,0,0,0,t
1178,f,0,0,0,t
1179,t,0.0,0.0,0.0,t
1180,t,0.0,0.0,0.0,t
1181,f,0,0,0,t
1182,f,0,0,0,t
1183,f,0,0,0,t
1805,t,0.0,0.0,0.0,t
1806,t,0.0,0.1,0.0,t
